source_id,target_id,edge_type_id,edge_weight
15,122,7,0.9
16,32,7,0.9
16,35,7,0.9
16,44,7,0.9
16,88,7,0.9
16,96,7,0.9
16,105,7,0.9
16,111,7,0.9
17,19,7,0.9
17,62,7,0.9
17,70,7,0.9
17,116,7,0.9
19,58,7,0.9
19,62,7,0.9
19,70,7,0.9
19,96,7,0.9
19,105,7,0.9
19,111,7,0.9
19,116,7,0.9
19,117,7,0.9
20,56,7,0.9
20,70,7,0.9
20,78,7,0.9
20,80,7,0.9
20,86,7,0.9
20,96,7,0.9
20,97,7,0.9
20,124,7,0.9
25,26,7,0.9
25,27,7,0.9
25,31,7,0.9
25,43,7,0.9
25,55,7,0.9
25,59,7,0.9
25,66,7,0.9
25,81,7,0.9
25,91,7,0.9
25,94,7,0.9
25,106,7,0.9
25,121,7,0.9
25,122,7,0.9
26,27,7,0.9
26,31,7,0.9
26,43,7,0.9
26,55,7,0.9
26,59,7,0.9
26,66,7,0.9
26,81,7,0.9
26,91,7,0.9
26,94,7,0.9
26,106,7,0.9
26,121,7,0.9
26,122,7,0.9
27,31,7,0.9
27,43,7,0.9
27,55,7,0.9
27,59,7,0.9
27,66,7,0.9
27,81,7,0.9
27,91,7,0.9
27,94,7,0.9
27,106,7,0.9
27,121,7,0.9
27,122,7,0.9
31,43,7,0.9
31,55,7,0.9
31,59,7,0.9
31,66,7,0.9
31,81,7,0.9
31,91,7,0.9
31,94,7,0.9
31,106,7,0.9
31,121,7,0.9
31,122,7,0.9
32,35,7,0.9
32,44,7,0.9
32,88,7,0.9
32,96,7,0.9
32,105,7,0.9
32,111,7,0.9
35,44,7,0.9
35,88,7,0.9
35,96,7,0.9
35,105,7,0.9
35,111,7,0.9
41,104,7,0.9
41,116,7,0.9
41,117,7,0.9
41,125,7,0.9
43,55,7,0.9
43,59,7,0.9
43,66,7,0.9
43,81,7,0.9
43,91,7,0.9
43,94,7,0.9
43,106,7,0.9
43,121,7,0.9
43,122,7,0.9
44,88,7,0.9
44,96,7,0.9
44,105,7,0.9
44,111,7,0.9
47,74,7,0.9
47,78,7,0.9
47,87,7,0.9
47,89,7,0.9
55,59,7,0.9
55,66,7,0.9
55,81,7,0.9
55,91,7,0.9
55,94,7,0.9
55,106,7,0.9
55,121,7,0.9
55,122,7,0.9
56,80,7,0.9
56,86,7,0.9
56,96,7,0.9
56,97,7,0.9
58,62,7,0.9
58,70,7,0.9
58,96,7,0.9
58,105,7,0.9
58,111,7,0.9
58,117,7,0.9
59,66,7,0.9
59,81,7,0.9
59,91,7,0.9
59,94,7,0.9
59,106,7,0.9
59,121,7,0.9
59,122,7,0.9
62,70,7,0.9
62,96,7,0.9
62,105,7,0.9
62,111,7,0.9
62,116,7,0.9
62,117,7,0.9
66,81,7,0.9
66,91,7,0.9
66,94,7,0.9
66,106,7,0.9
66,121,7,0.9
66,122,7,0.9
70,78,7,0.9
70,96,7,0.9
70,105,7,0.9
70,111,7,0.9
70,116,7,0.9
70,117,7,0.9
74,78,7,0.9
74,87,7,0.9
74,89,7,0.9
78,87,7,0.9
78,89,7,0.9
80,86,7,0.9
80,96,7,0.9
80,97,7,0.9
81,91,7,0.9
81,94,7,0.9
81,106,7,0.9
81,121,7,0.9
81,122,7,0.9
86,96,7,0.9
86,97,7,0.9
87,89,7,0.9
